0,0,"House",1,1
0,0,"KameraMove1",3,1
0,0,"Ground",1,1
0,0,"Truck",1,1
0,17,0,-10,0,-27.5,""
0,2,"FlameNoName",6.2,-0.95,-20.3,0.55,0,0,45,5,5,0.15,0.27,0,8,5.6,4.5,10,4.5,0.43,0.41
0,0,"Vampir",0,1
0,10,"Vampir","KameraMove1",5
0,2,"Fire 5. Stock",-10.15,7.9,-27.9,19.05,0,13.9,50,10,5,0.15,0.46,0,3.5,5.6,4.5,10,4.5,0.98,0.7
0,16,"darren-curtis-ignite-the-fire.ogg",50
0,0,"KameraFollow Car",3,1
0,0,"Car Movement",3,1
1.485,8,"KameraMove1",23.24,0
30,17,1,0,0,0,"Truck"
30,8,"KameraFollow Car",10,0
30,10,"Truck","Car Movement",99.946
